Country,Country Speed,Mirror Name,Protocols,Hostnames,Mirror Speed,Status
Thailand,171 Gbps,TOT Internet Data Center,"http://mirror1.totbb.net/ubuntu/, rsync://mirror1.totbb.net/ubuntu/",mirror1.totbb.net,10 Gbps,Up to date
Thailand,171 Gbps,"Bangmod Enterprise Co., Ltd.",http://mirrors.bangmod.cloud/ubuntu/,mirrors.bangmod.cloud,10 Gbps,Up to date
Thailand,171 Gbps,"Office of Computer Services, Kasetsart University",http://mirror1.ku.ac.th/ubuntu/,mirror1.ku.ac.th,1 Gbps,Up to date
Tunisia,12 Gbps,ATI,"https://ubuntu-mirror.ati.tn/, rsync://ubuntu-mirror.ati.tn/ubuntu/",ubuntu-mirror.ati.tn,10 Gbps,Up to date
Tunisia,12 Gbps,Tunisian Internet Agency - ATI,"https://mirror.ati.tn/ubuntu/, http://mirror.ati.tn/ubuntu/",mirror.ati.tn,2 Gbps,Up to date
Turkey,92 Gbps,Ekiphost.com,"https://mirror.ekiphost.com/ubuntu/, http://mirror.ekiphost.com/ubuntu/",mirror.ekiphost.com,20 Gbps,Up to date
Turkey,92 Gbps,PremierDC Veri Merkezi A.S,"https://mirror.sh.com.tr/ubuntu/, http://mirror.sh.com.tr/ubuntu/",mirror.sh.com.tr,20 Gbps,Up to date
Turkey,92 Gbps,Linux Kullanicilari Dernegi,"https://ftp.linux.org.tr/ubuntu/, http://ftp.linux.org.tr/ubuntu/, rsync://ftp.linux.org.tr/ubuntu/",ftp.linux.org.tr,10 Gbps,Up to date
Turkey,92 Gbps,ALASTYR,"https://mirror.alastyr.com/ubuntu/ubuntu-archive/, http://mirror.alastyr.com/ubuntu/ubuntu-archive/, rsync://mirror.alastyr.com/ubuntu/ubuntu-archive/",mirror.alastyr.com,10 Gbps,Up to date
Turkey,92 Gbps,Domainhizmetleri.com,"https://mirror.domainhizmetleri.com/ubuntu/, http://mirror.domainhizmetleri.com/ubuntu/",mirror.domainhizmetleri.com,10 Gbps,Up to date
Turkey,92 Gbps,ixirhost.com,"https://mirror.ixirhost.com/ubuntu/, http://mirror.ixirhost.com/ubuntu/",mirror.ixirhost.com,10 Gbps,Up to date
Turkey,92 Gbps,Verinomi,"https://mirror.verinomi.com/ubuntu/ubuntu-archive/, http://mirror.verinomi.com/ubuntu/ubuntu-archive/",mirror.verinomi.com,10 Gbps,Up to date
Turkey,92 Gbps,Güzel Hosting,"https://kozyatagi.mirror.guzel.net.tr/ubuntu/, http://kozyatagi.mirror.guzel.net.tr/ubuntu/",kozyatagi.mirror.guzel.net.tr,1 Gbps,Last update unknown
Turkey,92 Gbps,KAPTEYAN,"http://mirror.kapteyan.com.tr/ubuntu/, rsync://mirror.kapteyan.com.tr/ubuntu/",mirror.kapteyan.com.tr,1 Gbps,Last update unknown
Uganda,100 Mbps,Research & Education Network for Uganda,http://mirror.renu.ac.ug/ubuntu/,mirror.renu.ac.ug,100 Mbps,Last update unknown
Ukraine,55 Gbps,Hostiko,"https://mirror.hostiko.network/ubuntu/, http://mirror.hostiko.network/ubuntu/",mirror.hostiko.network,20 Gbps,Up to date
Ukraine,55 Gbps,IP-Connect LLC,"https://ubuntu.ip-connect.vn.ua/, http://ubuntu.ip-connect.vn.ua/, ftp://ubuntu.ip-connect.vn.ua/mirror/ubuntu/, rsync://ubuntu.ip-connect.vn.ua/ubuntu/",ubuntu.ip-connect.vn.ua,20 Gbps,Up to date
Ukraine,55 Gbps,Volia Broadband,"http://ubuntu.volia.net/ubuntu-archive/, ftp://ubuntu.volia.net/ubuntu-archive/, rsync://ubuntu.volia.net/ubuntu/",ubuntu.volia.net,10 Gbps,Up to date
